First_column,Second_column,Third_column,Fourth_column,Fifth_column,Sixth_column,Seventh_column,Eighth_column
mf,452,7449.990625,-0.0005870610664260312,7449.990625,-0.0005870610664260312,7010.667691274824,-0.0005870566255339327
ma,50086,7449.990625,0.0035768694672810852,7449.990625,0.0035768694672810852,6495.058191866179,0.0035768747963516034
mc,1476,7449.990625,-0.0005011546733157957,7449.990625,-0.0005011546733157957,6696.864977978547,-0.0005011502324236972
mb,10544,7449.990625,0.0002595843540120768,7449.990625,0.0002595843540120768,6595.227527445013,0.0002595941239746935
mm,8022,7449.990625,4.800604358479177e-05,7449.990625,4.800604358479177e-05,7795.60551455208,4.801226083372967e-05
ml,763,7449.990625,-0.00056097082534734,7449.990625,-0.00056097082534734,7678.901674144196,-0.0005609654962768218
mo,22647,7449.990625,0.0012749383770938039,7449.990625,0.0012749383770938039,8033.6188303193485,0.0012749445943427418
mn,997,7449.990625,-0.0005413403059151278,7449.990625,-0.0005413403059151278,7913.843613453316,-0.000541336753201449
mi,28752,7449.990625,0.0017871029101002023,7449.990625,0.0017871029101002023,7337.9586292891845,0.0017871082391707205
mh,360,7449.990625,-0.0005947793368932253,7449.990625,-0.0005947793368932253,7227.352012831632,-0.0005947766723579662
mk,118,7449.990625,-0.0006150813192107307,7449.990625,-0.0006150813192107307,7563.728662286716,-0.0006150759901402125
mj,100,7449.990625,-0.0006165912225242209,7449.990625,-0.0006165912225242209,7450.082491375944,-0.0006165867816321224
mu,8718,7449.990625,0.0001063975574311371,7449.990625,0.0001063975574311371,8784.634804696721,0.0001064002219663962
mt,980,7449.990625,-0.0005427667204571662,7449.990625,-0.0005427667204571662,8655.61029644571,-0.0005427605032082283
mw,287,7449.990625,-0.0006009024389186379,7449.990625,-0.0006009024389186379,9047.302202680143,-0.0006008935571344409
mv,104,7449.990625,-0.000616256379259994,7449.990625,-0.000616256379259994,8915.199479229806,-0.0006162510501894758
mq,12,7449.990625,-0.0006239746497271881,7449.990625,-0.0006239746497271881,8277.789129132503,-0.0006239702088350896
mp,15776,7449.990625,0.0006985114708868423,7449.990625,0.0006985114708868423,8154.93344169613,0.0006985150236005211
ms,6058,7449.990625,-0.00011675815869693906,7449.990625,-0.00011675815869693906,8528.127413843798,-0.00011675549416167996
mr,676,7449.990625,-0.0005682689874220159,7449.990625,-0.0005682689874220159,8402.186967516378,-0.0005682654347083371
-z,42,7449.990625,-0.0006214566639073382,7449.990625,-0.0006214566639073382,14632.682063258642,-0.0006214495584799806
my,2585,7449.990625,-0.00040811709567378784,7449.990625,-0.00040811709567378784,9316.10998523278,-0.00040811265478168934
mx,64,7449.990625,-0.0006196110291512014,7449.990625,-0.0006196110291512014,9180.940190980882,-0.000619600371010165
mz,63,7449.990625,-0.0006196954061010729,7449.990625,-0.0006196954061010729,9452.807444168931,-0.0006196927415658138
1U,0,7449.990625,-0.0006249809558767083,7449.990625,-0.0006249809558767083,8555.101804800493,-0.0006249747386277704
t9,3,7449.990625,-0.0006247278250270938,7449.990625,-0.0006247278250270938,3400.2691492854547,-0.000624724272313415
t6,15,7449.990625,-0.0006237215188775735,7449.990625,-0.0006237215188775735,3260.916755787983,-0.000623717077985475
rU,0,7449.990625,-0.0006249809558767083,7449.990625,-0.0006249809558767083,5205.429792993032,-0.0006249765149846098
t3,100,7449.990625,-0.0006165912225242209,7449.990625,-0.0006165912225242209,3129.0277605483298,-0.0006165885579889618
rE,0,7449.990625,-0.0006249809558767083,7449.990625,-0.0006249809558767083,4095.6952673768656,-0.0006249765149846098
rt,36815,7449.990625,0.002463529824581201,7449.990625,0.002463529824581201,8324.461771334134,0.002463535153651719
ru,11272,7449.990625,0.0003206581666859165,7449.990625,0.0003206581666859165,8448.750943544559,0.000320662607578015
rv,5249,7449.990625,-0.00018462653628148473,7449.990625,-0.00018462653628148473,8574.567898547144,-0.00018462298356780593
rw,1401,7449.990625,-0.0005074465292409513,7449.990625,-0.0005074465292409513,8701.912391754315,-0.0005074438647056922
rp,3356,7449.990625,-0.0003434372786159656,7449.990625,-0.0003434372786159656,7842.566468091187,-0.0003434337259022868
rq,157,7449.990625,-0.0006118083817341358,7449.990625,-0.0006118083817341358,7960.754221789604,-0.0006118074935557161
rr,29236,7449.990625,0.0018277059865567935,7449.990625,0.0018277059865567935,8080.464684480177,0.0018277122038057314
rs,35133,7449.990625,0.0023224231426866027,7449.990625,0.0023224231426866027,8201.700010571603,0.0023224320244707997
rx,89,7449.990625,-0.0006175149280807091,7449.990625,-0.0006175149280807091,8830.78355261061,-0.0006175087108317712
ry,19115,7449.990625,0.000978630509962386,7449.990625,0.000978630509962386,8961.179875042908,0.0009786349508544845
rz,629,7449.990625,-0.0005722116114270648,7449.990625,-0.0005722116114270648,9093.099208419426,-0.0005722071705349663
rd,18272,7449.990625,0.0009079066387585044,7449.990625,0.0009079066387585044,6541.558505039913,0.0009079119678290226
re,128365,7449.990625,0.010143910600390882,7449.990625,0.010143910600390882,6641.837043382323,0.01014391681763982
rf,2677,7449.990625,-0.00040039882520659376,7449.990625,-0.00040039882520659376,6743.571547056581,-0.00040039349613607556
rg,8037,7449.990625,4.9265480583926546e-05,7449.990625,4.9265480583926546e-05,6846.770164494648,4.927258601128415e-05
ra,60432,7449.990625,0.004444824952543058,7449.990625,0.004444824952543058,6249.371152874588,0.004444829393435157
rb,41332,7449.990625,0.002842472923703099,7449.990625,0.002842472923703099,6345.334701060494,0.0028424791409520367
rc,17966,7449.990625,0.0008822365060723314,7449.990625,0.0008822365060723314,6442.727374763374,0.0008822409469644299
rl,9488,7449.990625,0.0001709938857175075,7449.990625,0.0001709938857175075,7384.979713104495,0.000170998326609606
rm,13739,7449.990625,0.0005276223902228594,7449.990625,0.0005276223902228594,7497.109419013201,0.0005276259429365382
rn,18326,7449.990625,0.0009124372368773948,7449.990625,0.0009124372368773948,7610.747625191496,0.0009124407895910736
ro,60433,7449.990625,0.00444490844131451,7449.990625,0.00444490844131451,7725.898697584506,0.004444911994028189
rh,1859,7449.990625,-0.00046902481898314363,7449.990625,-0.00046902481898314363,6951.440620763084,-0.00046902215444788453
ri,63540,7449.990625,0.004705563050322326,7449.990625,0.004705563050322326,7057.590203130906,0.004705567491214424
rj,307,7449.990625,-0.0005992246698838244,7449.990625,-0.0005992246698838244,7165.225746760039,-0.0005992220053485653
rk,10125,7449.990625,0.00022443291669560494,7449.990625,0.00022443291669560494,7274.353620541952,0.00022443824576612315
r4,22,7449.990625,-0.0006231353211205715,7449.990625,-0.0006231353211205715,3211.688435559604,-0.0006231291038716336
r5,16,7449.990625,-0.0006236380301061217,7449.990625,-0.0006236380301061217,3256.4806535640273,-0.0006236318128571838
r6,9,7449.990625,-0.0006242251160415435,7449.990625,-0.0006242251160415435,3302.104975522325,-0.000624220675149445
r7,10,7449.990625,-0.000624140739091672,7449.990625,-0.000624140739091672,3348.574877190691,-0.0006241380745564129
r0,17,7449.990625,-0.0006235545413346699,7449.990625,-0.0006235545413346699,3040.574896485333,-0.0006235527649778305
r1,320,7449.990625,-0.0005981348749628523,7449.990625,-0.0005981348749628523,3082.171267723565,-0.0005981277695354947
r2,254,7449.990625,-0.0006036717792312629,7449.990625,-0.0006036717792312629,3124.546944239029,-0.000603665561982325
r3,62,7449.990625,-0.0006197788948725247,7449.990625,-0.0006197788948725247,3167.7149520754765,-0.0006197744539804262
r8,13,7449.990625,-0.0006238902727773166,7449.990625,-0.0006238902727773166,3395.9039361508617,-0.0006238840555283787
r9,35,7449.990625,-0.00062204374984276,7449.990625,-0.00062204374984276,3444.1058270491926,-0.0006220419734859206
rspace,107673,7449.990625,0.008408001406223775,7449.990625,0.008408001406223775,2470.8931710137626,0.008408007623472713
r-,1728,7449.990625,-0.0004800142505700933,7449.990625,-0.0004800142505700933,2920.3331999815086,-0.0004800115860348342
xU,0,7449.990625,-0.0006249809558767083,7449.990625,-0.0006249809558767083,4981.074799744931,-0.000624972962270931
d-,1336,7449.990625,-0.0005129008329163298,7449.990625,-0.0005129008329163298,3186.4759574758855,-0.000512897280202651
dspace,174143,7449.990625,0.013984351454610078,7449.990625,0.013984351454610078,2673.9816964647794,0.013984361224572694
d8,15,7449.990625,-0.0006237215188775735,7449.990625,-0.0006237215188775735,3729.272713546828,-0.0006237197425207341
d9,15,7449.990625,-0.0006237215188775735,7449.990625,-0.0006237215188775735,3784.284486973348,-0.0006237179661638947
d6,13,7449.990625,-0.0006238902727773166,7449.990625,-0.0006238902727773166,3622.214297663737,-0.0006238884964204772
d7,17,7449.990625,-0.0006235545413346699,7449.990625,-0.0006235545413346699,3675.254258859106,-0.000623548324085732
d4,27,7449.990625,-0.0006227152127280533,7449.990625,-0.0006227152127280533,3519.010862838994,-0.0006227107718359548
d5,20,7449.990625,-0.0006233031868418948,7449.990625,-0.0006233031868418948,3570.138064867084,-0.0006232943050576978
d2,119,7449.990625,-0.0006149960540824395,7449.990625,-0.0006149960540824395,3419.545139483464,-0.0006149880604766622
